"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"ISTITUTO COMPRENSIVO BORGO VALSUGANA";"SCUOLA SECONDARIA DI PRIMO GRADO ""ORA E VEGLIA"" BORGO VALSUGANA";;"A carattere statale/provinciale";"LUIGI VITULLO";;;"Via Spagolla, 1 38051";"BORGO VALSUGANA";0461/753179;0461/754131;ic.borgovalsugana@pec.provincia.tn.it;dir.ic.borgovalsugana@scuole.provincia.tn.it;segr.ic.borgovalsugana@scuole.provincia.tn.it;http://www.icborgovalsugana.edu.it/;TNMM812012
"ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO";"ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO";;Paritaria/equiparata;"Carlo Musio";;;"Via Conci, 86 38123";TRENTO;0461/930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;https://www.scuolasteiner-trento.it;TN1M007003
"SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA";"SCUOLA SECONDARIA DI PRIMO GRADO POZZA DI FASSA";;"A carattere statale/provinciale";"FEDERICO CORRADINI";;;"Strada Dolomites - Pozza di Fassa, 67 38036";"SAN GIOVANNI DI FASSA - SEN JAN";0462/763702;0462/760001;scuolaladinadifassa@pec.provincia.tn.it;dir.scuolaladinadifassa@scuole.provincia.tn.it;segr.scuolaladinadifassa@scuole.provincia.tn.it;https://www.scuolaladina.com/;TNMM85003V
"SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA";"SCUOLA SECONDARIA DI PRIMO GRADO ""T. SORARUF"" CAMPITELLO DI FASSA";;"A carattere statale/provinciale";"FEDERICO CORRADINI";;;"Strèda de Marin, 3/A 38031";"CAMPITELLO DI FASSA - CIAMPEDEL";0462/763702;0462/760001;scuolaladinadifassa@pec.provincia.tn.it;dir.scuolaladinadifassa@scuole.provincia.tn.it;segr.scuolaladinadifassa@scuole.provincia.tn.it;https://www.scuolaladina.com/;TNMM85001R
"SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA";"SCUOLA SECONDARIA DI PRIMO GRADO ""DON G. JORI"" MOENA";;"A carattere statale/provinciale";"FEDERICO CORRADINI";;;"Strada don Giovanni Iori, 19 38035";"MOENA - MOENA";0462/763702;0462/760001;scuolaladinadifassa@pec.provincia.tn.it;dir.scuolaladinadifassa@scuole.provincia.tn.it;segr.scuolaladinadifassa@scuole.provincia.tn.it;https://www.scuolaladina.com/;TNMM85002T
"ISTITUTO COMPRENSIVO VILLA LAGARINA";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"TIZIANA CHEMOTTI";;;"Via Stockstadt Am Rhein, 3 38060";"VILLA LAGARINA";0464/411312;0464/411705;ic.villalagarina@pec.provincia.tn.it;dir.ic.villalagarina@scuole.provincia.tn.it;segr.ic.villalagarina@scuole.provincia.tn.it;https://www.icvillalagarina.it;TNIC846004
"ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"CINZIA CASNA";;;"Via Degli Alpini, 17 38017";MEZZOLOMBARDO;0461/601125;0461/601125;ic.mezzolombardo@pec.provincia.tn.it;dir.ic.mezzolombardo@scuole.provincia.tn.it;segr.ic.mezzolombardo@scuole.provincia.tn.it;https://icmezzolombardopaganella.edu.it;TNIC824007
"ISTITUTO COMPRENSIVO ROVERETO NORD";"SCUOLA SECONDARIA DI PRIMO GRADO ""L. NEGRELLI"" ROVERETO";;"A carattere statale/provinciale";"TIZIANA CHIARA PASQUINI";;;"Corso Bettini, 67 38068";ROVERETO;0464/420759;0464/480415;ic.roveretonord@pec.provincia.tn.it;dir.ic.roveretonord@scuole.provincia.tn.it;segr.ic.roveretonord@scuole.provincia.tn.it;https://www.icroveretonord.it;TNMM859017
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES";"EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO";;"A carattere statale/provinciale";"ALFREDO ROMANTINI";;;"Via IV Novembre, 35 38023";CLES;0463/421695;0463/421477;pilati@pec.provincia.tn.it;dir.itetpilati@scuole.provincia.tn.it;segr.itetpilati@scuole.provincia.tn.it;https://www.istitutopilati.it;TNCT709002
"ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"ALESSANDRO FABRIS";;;"Via Roma - Vezzano, 3 38070";VALLELAGHI;0461/864026;0461/340648;ic.valledeilaghi@pec.provincia.tn.it;dir.ic.valledeilaghi@scuole.provincia.tn.it;segr.ic.valledeilaghi@scuole.provincia.tn.it;https://www.icvalledeilaghidro.it;TNIC84400C
